,,,,LINE_FR,LINE_IT,LINE_DE,LINE_ES,LINE_BP,LINE_JP,LINE_RU,LINE_KP,LINE_CN,LINE_XX
$beehive_unhappy_hot,Error when bees are too hot in a climate,"These bees don't like this climate, it's too hot!",XX,"Ces abeilles n'aiment pas ce climat, il fait trop chaud !","A quelle api non piace questo clima, fa troppo caldo!","Diese Bienen mögen dieses Klima nicht, es ist zu heiß!",A estas abejas no les gusta este clima. ¡Hace mucho calor!,"Essas abelhas não gostam desse clima, quente demais!",ハチはこの気候が苦手なようだ、暑すぎるみたい！,,,"这些蜜蜂不喜欢这种气候, 太热了!",XX
$beehive_unhappy_cold,Error when bees are too cold in a climate,"These bees don't like this climate, it's too cold!",XX,"Ces abeilles n'aiment pas ce climat, il fait trop froid !","A quelle api non piace questo clima, fa troppo freddo!","Diese Bienen mögen dieses Klima nicht, es ist zu kalt!",A estas abejas no les gusta este clima. ¡Hace mucho frío!,"Essas abelhas não gostam desse clima, frio demais!",ハチはこの気候が苦手なようだ、寒すぎるみたい！,,,"这些蜜蜂不喜欢这种气候, 太冷了!",XX
$beehive_aggressive,Error when bees are aggressive and need to be smoked first,These bees are grumpy and need to be calmed!,XX,"Ces abeilles sont de mauvaise humeur, il faut les calmer !",Quelle api sono troppo agitate e vanno calmate!,Diese Bienen sind mürrisch und müssen beruhigt werden!,Estas abejas están enfadadas. ¡Debes tranquilizarlas!,Essas abelhas são mal-humoradas e precisam ser acalmadas!,このハチは気性が荒いから落ち着かせる必要がある！,,,"这些蜜蜂暴躁易怒, 需要安抚!",XX
$beehive_queen_finished,Error when a queen has finished her lifecycle and made offspring,The Queen has finished her cycle!,XX,La reine a terminé son cycle !,La regina ha finito il suo ciclo!,Die Königin hat ihren Zyklus beendet!,¡La reina terminó su ciclo!,A Rainha acabou seu ciclo!,女王の周期がまだ終わってないよ！,,,该蜂后已完成其生命周期!,XX
$squeezer_full,Error when a squeezer has no more room in it's liquid resin tank,No more room in the tank!,XX,Plus d'espace dans le réservoir !,Non c'è più spazio nel serbatoio!,Kein Platz mehr im Tank!,¡No hay más lugar en el tanque!,Sem espaço no tanque!,タンクに容量がない！,,,储罐中已没有空间!,XX
$fermenter_full,Error when a fermenter has no more room in it's liquid mead tank,No more room in the tank!,XX,Plus d'espace dans le réservoir !,Non c'è più spazio nel serbatoio!,Kein Platz mehr im Tank!,¡No hay más lugar en el tanque!,Sem espaço no tanque!,タンクに容量がない！,,,储罐中已没有空间!,XX
$altar_messengers,Error when an altar doesn't have 3 bees set in the input slots,Three messenger bees are needed to send prayers!,XX,Il faut trois abeilles messagères pour transmettre des prières !,Servono tre api messaggere per inviare le preghiere!,"Drei Botenbienen werden benötigt, um Gebete zu senden!",¡Se necesitan tres abejas mensajeras para enviar plegarias!,Você precisa de três abelhas mensageiras para enviar preces!,祈りを捧げるには伝達してくれるミツバチが3匹必要だ！,,,需要3只蜜蜂作为信使来传达祷言!,XX
$altar_blessed,Error when trying to use non-blessed bees in the altar,Only blessed bees can be used as messengers!,XX,Seules les abeilles bénies peuvent devenir messagères !,Solo le api benedette possono essere usate come messaggere!,Nur gesegnete Bienen können als Boten eingesetzt werden!,¡Solo puedes usar abejas benditas como mensajeras!,Apenas abelhas abençoadas podem ser usadas como mensageiras!,幸運のハチのみが伝達を担ってくれるよ！,,,只有受祝福的蜜蜂才能用作信使!,XX
$smoker_no_fuel,Error when a smoker doesn't have enough fuel,This smoker needs more fuel!,XX,Cet enfumoir manque de carburant !,Quest'affumicatore ha bisogno di altro combustibile!,Dieser Smoker braucht mehr Brennstoff!,¡Este ahumador necesita más combustible!,Esse fumigador precisa de mais combustível!,燻煙器の燃料が足りない！,,,这台喷烟器需要更多燃料!,XX
$bottler_not_enough,Error when a bottler doesn't have enough liquid in it's tank to fill (NB 'bl' is a made up liquid measurement in APICO),You need at least 50bl of liquid to fill a bottle!,XX,Il te faut au moins 50 la pour remplir une bouteille !,Devi avere almeno 50bl di liquido per riempire una bottiglia!,"Du brauchst mindestens 50bl Flüssigkeit, um eine Flasche zu füllen!",¡Necesitas al menos 50 ml de líquido para llenar una botella!,Você precisa de pelo menos 50al de líquido para encher uma garrafa!,ボトルを満タンにするには少なくとも50ビーリットル必要だ！,,,需要至少50蜂升的液体才能装满一个瓶子!,XX
$bottler_full,Error when a bottler has no more room in the output slots,There's no more room to bottle more liquid!,XX,La bouteille est pleine !,Non c'è spazio per imbottigliare ulteriore liquido!,"Es gibt keinen Platz mehr, um mehr Flüssigkeit abzufüllen!",¡No hay más espacio para embotellar más líquido!,Sem espaço para engarrafar mais líquidos!,ボトルにはもう液体を入れる容量がない！,,,没有足够空间将更多液体装瓶!,XX
$tapper_tank_full,Error when there's no more room in a tapper's tank to get more resin,No more room in the tank!,XX,Plus d'espace dans le réservoir !,Non c'è più spazio nel serbatoio!,Kein Platz mehr im Tank!,¡No hay más lugar en el tanque!,Sem espaço no tanque!,タンクに容量がない！,,,储罐中已没有空间!,XX
$tapper_drained,Error when a tree has been fully drained of resin,Tree fully drained!,XX,Arbre totalement drainé !,Albero completamente prosciugato!,Dieser Baum ist leergesaugt!,¡El árbol no tiene más resina!,Árvore esgotada!,この木の樹脂は全部搾り取った！,,,树已完全取干!,XX
$predictor_not_queen,Error when a bee that is not a queen is put in the predictor,This bee is not a Queen!,XX,Cette abeille n'est pas une reine !,Quest'ape non è una regina!,Diese Biene ist keine Königin!,¡Esta abeja no es una reina!,Essa abelha não é uma Rainha!,このハチは女王ではない！,,,该蜜蜂不是蜂后!,XX
$clockwork_wind,Error when a clockwork machine has run out of wind,Re-wind this machine to start working again!,XX,Remonte cette machine pour la relancer !,Ricarica questa macchina per farla tornare a funzionare!,"Ziehe die Maschine auf, damit sie wieder läuft!",¡Dale cuerda a esta máquina para que vuelva a funcionar!,Reinicie essa máquina para que funcione novamente!,機械を巻き戻してもう一度作動しよう！,,,为这台机器上发条以使其能再次工作!,XX
$extractor_full,Error when an extractor has no more room in it's output slots,There's no more room to extract frames!,XX,Plus de place pour l'extraction des cadres !,Non c'è più spazio per estrarre telai!,Es gibt keinen Platz mehr zum Extrahieren von Rähmchen!,¡No hay más espacio para extraer cuadros!,Sem espaço para extrair mais quadros!,フレームを抽出するスペースがない！,,,没有足够空间来提取巢框!,XX
$infuser_full,Error when an infuser has no more room in it's output slots,There's no more room to infuse items!,XX,Plus de place pour l'infusion !,Non c'è più spazio per infondere oggetti!,Der Infusor hat keinen Platz mehr!,¡No hay más espacio para infusionar objetos!,Sem espaço para infundir itens!,アイテムを加工するスペースがない！,,,没有足够空间来注入物品!,XX
$infuser_empty,Error when an infuser has items but no resin,Add resin to start infusing items!,XX,Ajoute de la résine pour lancer l'infusion !,Aggiungi della resina per cominciare a infondere oggetti!,Du musst noch Harz hinzufügen!,¡Agrega resina para empezar a infusionar objetos!,Adicione resina para começar a infundir itens!,アイテムを樹脂で浸してみよう！,,,添加树脂以开始注入物品!,XX
$cant_place_tile,Error when trying to place a tile on top of an object,You can't place tiles on top of things!,XX,Impossible de placer des planchers sur des objets !,Non puoi posizionare delle piastrelle sopra altre cose!,Du kannst keine Fliesen auf Dinge legen!,¡No puedes colocar baldosas encima de otras cosas!,Você não pode colocar pisos em cima de coisas!,上にタイルは置けないよ！,,,无法将地块放到物品上面!,XX
$cant_place_wall,Error when trying to place a wall on top of an object,You can't place walls on top of things!,XX,Impossible de placer des murs sur des objets !,Non puoi posizionare delle mura sopra altre cose!,Du kannst keine Wände auf Dinge platzieren!,¡No puedes colocar paredes encima de otras cosas!,Você não pode colocar paredes em cima de coisas!,上に壁は置けないよ！,,,无法将墙放到物品上面!,XX
$cant_place_obj,Error when trying to place an object ontop of other objects/walls,You can't place this on top of things!,XX,Impossible de placer ça sur des objets !,Non puoi posizionare questo elemento sopra altre cose!,Du kannst das nicht auf Dinge platzieren!,¡No puedes colocar esto encima de otras cosas!,Você não pode colocar isso em cima de coisas!,上にこのアイテムは置けないよ！,,,无法将此物放到物品上面!,
$cant_place_window,Error when trying to place a window on the wrong type of wall,You can only place windows on their matching walls!,XX,Les fenêtres doivent être posées sur les murs correspondants !,Puoi posizionare le finestre solo sulle mura corrispondenti!,Du kannst Fenster nur in passende Wände einbauen!,¡Las ventanas solo se pueden colocar en paredes del mismo tipo!,Você só pode colocar janelas em suas paredes correspondentes!,合う壁にしか窓は取り付けられないよ！,,,只能将窗户放到相搭配的墙上!,XX
$cant_place_that_window,Error when trying to place a window on the wrong type of wall,You can't place that window on this type of wall!,XX,Impossible de poser cette fenêtre sur ce type de mur !,Non puoi posizionare quella finestra su questo tipo di muro!,Du kannst dieses Fenster nicht in diesen Typus von Wand einbauen!,¡No puedes colocar esa ventana en este tipo de pared!,Você não pode colocar essa janela nesse tipo de parede!,この窓はこの壁と合っていないみたい！,,,无法将这扇窗户放到此类墙上!,XX
$cant_place_that_on_land,Error when trying to place a non-aquatic item on water,You can only place this item on water!,XX,Cet objet doit être placé sur de l'eau !,Puoi posizionare quest'oggetto solo sull'acqua!,Du kannst das hier nur auf Wasser platzieren!,¡Este objeto solo se puede colocar sobre el agua!,Você só pode colocar esse item na água!,このアイテムは水の上にしか置けないよ！,,,这件物品只能放到水上!,XX
$cant_place_that_on_water,Error when trying to place an aquatic item on land,You can only place this item on land!,XX,Cet objet doit être placé sur la terre !,Puoi posizionare quest'oggetto solo sulla terraferma!,Du kannst das hier nur auf Land platzieren!,¡Este objeto solo se puede colocar sobre tierra!,Você só pode colocar esse item na terra!,このアイテムは陸の上にしか置けないよ！,,,这件物品只能放到陆地上!,XX
$cant_place_carpet,Error when trying to place carpet not on flooring,You can only place carpet on flooring!,XX,Tu peux seulement placer des tapis sur les planchers !,Puoi mettere dei tappeti solo sui pavimenti!,Du kannst Teppich nur auf einer Fliese verlegen!,¡Solo puedes colocar alfombras sobre pisos!,Você só pode colocar carpete em pisos!,フローリングの上に置けるのはカーペットだけだよ！,,,毯子只能放在地材上!,XX
$cant_place_nature,Error when trying to place a nature item on flooring,You can only place this on grass or edging!,XX,Tu peux seulement placer ça sur de l'herbe ou des bordures !,Puoi posizionare quest'elemento solo su erba o bordi!,Du kannst das hier nur auf Gras oder Einfassungen platzieren!,¡Este objeto solo se puede sobre hierba o canteros!,Você só pode colocar isso em grama ou bordas!,このアイテムは草原か縁にしか置けないよ！,,,这个只能放在草或边板上!,XX
$cant_hammer_current_boat,Error when trying to hammer the boat you're currently in,You can't hammer the boat you're currently sailing in!,XX,Impossible d'utiliser le marteau sur le bateau si tu es dedans !,Non puoi martellare la barca su cui stai navigando!,"Du kannst das Boot, mit dem du gerade unterwegs bist, nicht mit dem Hammer bearbeiten!",¡No puedes martillar el barco en el que navegas!,Você não pode martelar o barco que está usando!,乗っているボートにはハンマーを当てられないよ！,,,无法对自己正在航行使用中的船使用锤子!,XX
$cant_reach_item,Error when an item is out of reach of the Player,This item is out of reach!,XX,Cet objet est trop loin !,Quest'oggetto è fuori portata!,Zu weit weg!,¡Este objeto no está al alcance!,Esse item está fora de alcance!,アイテムに届かない！,,,够不着该物品!,XX
$cant_reach_person,Error when an NPC is out of reach of the Player,This person is out of reach!,XX,Cette personne est trop loin !,Questa persona è fuori portata!,Diese Person ist zu weit weg!,¡Esta persona no está al alcance!,Essa pessoa está fora de alcance!,あの人は遠すぎる！,,,够不着该人物!,
$cant_place_item,Error when an item is trying to be placed too far away,You can't place this item this far away!,XX,Impossible de placer cet objet si loin !,Non puoi posizionare quest'oggetto tanto lontano!,Du kannst das nicht so weit weg platzieren!,¡No puedes colocar este objeto tan lejos!,Você não pode colocar esse item tão longe!,アイテムを遠くには置けないよ！,,,无法将此物品放那么远!,XX
$cant_place_boat,Error when trying to use a boat in the dev area or Dream,You can't use a boat here!,XX,Impossible d'utiliser le bateau ici !,Non puoi usare una barca qui!,Du kannst hier kein Boot benutzen!,¡No puedes usar el bote aquí!,Você não pode usar um barco aqui!,ここではボートを使えない！,,,无法在此使用船!,
$cant_trash_item,Error when trying to trash items you're not allowed to,You can't trash these items!,XX,Tu ne peux pas jeter ces objets !,Non puoi buttare quegli oggetti nell'immondizia!,Das kannst du nicht in den Müll packen!,¡No puedes desechar estos objetos!,Você não pode jogar esses itens no lixo!,このアイテムは捨てられないよ！,,,无法丢弃这些物品!,XX
$cant_craft_item,Error when trying to craft an item you don't have enough of the recipe items for,You don't have enough resources to craft this!,XX,Tu manques de ressources pour fabriquer ça !,Non hai abbastanza risorse per crearlo!,"Dir fehlen Teile, um das hier zu fertigen!",¡No tienes suficientes recursos para crear esto!,Você não tem recursos suficientes para criar isso!,このアイテムをクラフトするには材料が足りない！,,,你没有足够资源制造此物!,XX
$cant_repair_item,Error when trying to repair an item you dont have enough items for,You don't have enough resources to repair this!,XX,Tu manques de ressources pour réparer ça !,Non hai abbastanza risorse per ripararlo!,Dir fehlen Teile für die Reparatur!,¡No tienes suficientes recursos para reparar esto!,Você não tem recursos suficientes para consertar isso!,このアイテムを修理するには材料が足りない！,,,你没有足够资源修理此物!,
$cant_claim_item,Error when trying to claim a chapter you don't have the requirements for ,You don't meet all the requirements for this chapter!,XX,Tu ne remplis pas toutes les conditions requises pour ce chapitre !,Non hai completato tutti i requisiti necessari per questo capitolo!,Du hast nicht alle Voraussetzungen für dieses Kapitel erfüllt!,¡Aún no cumples todos los requisitos para este capítulo!,Você não cumpriu todos os requisitos desse capítulo!,章クリアの条件を満たせていない！,,,你不满足此章的所有要求!,XX
$cant_afford_this,Error when trying to buy an item but don't have enough money (NB: Rubees are the in-game currency),You don't have enough Rubees to buy this item!,XX,Tu manques de nectines !,Non hai abbastanza lapislazzuli per comprare quest'oggetto!,"Du hast nicht genug Rubienen, um das zu kaufen!",¡No tienes suficientes abejólares para comprar este objeto!,Você não tem Rubelhas suficientes para comprar esse item!,このアイテムを買うだけのビーコインを持っていない！,,,你没有足够蜂币来购买此物品!,XX
$cant_afford_hc_this,Error when trying to buy an item but don't have enough money (NB: Honeycore is another in-game currency),You don't have enough Honeycore to buy this item!,XX,Tu manques de miellites !,Non hai abbastanza Cristalmiele per comprare quest'oggetto!,"Du hast nicht genug Honigkerne, um das zu kaufen!",¡No tienes suficiente mielitra para comprar este objeto!,Você não tem Cristamel suficiente para comprar esse item!,このアイテムを買うだけのハニーコアを持っていない！,,,你没有足够蜜核来购买此物品!,XX
$cant_fit_this,Error when trying to buy an item while already holding another item,You can't buy stuff while holding items!,XX,Impossible d'acheter si tu portes quelque chose !,Non puoi comprare delle cose con le mani occupate!,"Du kannst nichts kaufen, während du Sachen in der Hand hältst!",¡No puedes comprar cosas con las manos ocupadas!,Você não pode comprar coisas enquanto estiver segurando itens!,アイテムを持ったままでは買えないよ！,,,拿着物品时无法购买物品!,XX
$cant_buy_this,Error when trying to buy an item but you're not a high enough level (NB: {LEVEL} is replaced by the current player bee discory count),You need to have discovered at least {LEVEL} bees to buy this item!,XX,Il faut découvrir au moins {LEVEL} abeilles pour acheter ça !,Devi aver scoperto almeno {LEVEL} api per comprare quest'oggetto!,"Du musst mindestens {LEVEL} Bienen entdecken, um das zu kaufen!",¡Debes descubrir al menos {LEVEL} abejas para comprar este objeto!,Você precisa descobrir pelo menos {LEVEL} abelhas para comprar esse item!,このアイテムを買うにはハチを{LEVEL}匹発見する必要がある！,,,你需要发现至少{LEVEL}蜜蜂才能购买此物品!,XX
$noticeboard_underlevelled,Error when you're too low level to use the town noticeboard,You need to have discovered at least 10 bees use the town noticeboard!,XX,Il faut découvrir au moins 10 abeilles pour utiliser le panneau d'affichage !,Devi aver scoperto almeno 10 api per poter usare la bacheca della città!,"Du musst mindestens 10 Bienen entdecken, bevor du das Schwarze Brett in der Stadt nutzen kannst!",¡Debes descubrir al menos 10 abejas para usar el tablero de anuncios del pueblo!,Você precisa descobrir pelo menos 10 abelhas para usar o quadro de avisos da cidade!,街の掲示板を利用するにはハチを10匹発見しよう！,,,你需要发现至少10蜜蜂才能使用小镇公告栏!,
$cant_pickaxe_big_rocks,Error when using a low level pickaxe on strong rocks,You need a stronger pickaxe to mine these rocks!,XX,Il te faut une meilleure pioche pour ces roches !,Hai bisogno di un piccone più resistente per rompere quelle rocce!,"Du brauchst eine stärkere Spitzhacke, um diese Felsen abzubauen!",¡Necesitas una piqueta más fuerte para romper estas rocas!,Você precisa de uma picareta mais forte para minerar essas pedras!,この岩を採鉱するにはもっと強いツルハシが必要だ！,,,你需要更强的镐才能采集这些石块!,
$unknown_command,"Error when putting a wrong command into the dev console machine. This is a reference to the movie Odysee 2001, when HAL talks to Dave.","I'm sorry Dave, I'm afraid I can't do that",XX,"Je suis désolé Dave, mais je ne peux pas accéder à votre demande","Spiacente, Dave, temo che non sia possibile.","Es tut mir leid, Dave, das kann ich nicht tun ...","Lo siento, Dave. Me temo que no puedo dejarte hacer eso.","Me desculpe Dave, mas receio que não posso fazer isso",ごめんねデイヴ、それはできない,,,"对不起, 戴夫, 恐怕我不能那么做",
$acclimatiser_no_modifier,Error with the acclimatiser which uses water / snowballs to change whether a bee likes rain/snow weather,You need to use either Bottled Water or Snowballs to acclimatise bees!,XX,Il faut utiliser de l'eau en bouteille ou des boules de neige pour acclimater les abeilles !,Devi usare l'acqua in bottiglia o le palle di neve per far acclimatare le api!,"Du musst entweder Wasser in Flaschen oder Schneebälle verwenden, um diese Bienen an das Klima zu gewöhnen!",¡Debes usar agua en botella o bolas de nieve para aclimatar a las abejas!,Você precisa usar Água Engarrafada ou Bolas de neve para aclimatar abelhas!,ハチを気候に順応させるにはボトルに入った水か雪玉が必要だ！,,,需要使用瓶装水或雪球以使蜜蜂适应!,
$acclimatiser_not_enough,Error with the acclimatiser which uses water / snowballs to change whether a bee likes rain/snow weather,You need at least 10 Snowballs to acclimatise bees to like snow!,XX,Il faut au moins 10 boules de neige pour acclimater les abeilles à la neige !,Ti occorrono almeno 10 palle di neve per far abituare le api alla neve!,"Du brauchst mindestens 10 Schneebälle, um die Bienen an den Schnee zu gewöhnen!",¡Necesitas al menos diez bolas de nieve para que a las abejas les guste la nieve!,Você precisa de pelo menos 10 Bolas de neve para aclimatar abelhas e fazer que gostem de neve!,ハチを雪好きにさせるには雪玉が10個必要だ！,,,需要至少10个雪球以使蜜蜂适应并喜欢雪!,
$acclimatiser_no_room,Error with the acclimatiser which uses water / snowballs to change whether a bee likes rain/snow weather,There's no room to acclimatise more bees!,XX,"Impossible d'ajouter des abeilles, il n'y a plus de place !",Non c'è spazio per far acclimatare altre api!,"Es gibt keinen Platz, um mehr Bienen an das Klima zu gewöhnen!",¡No hay lugar para aclimatar más abejas!,Sem espaço para aclimatar mais abelhas!,これ以上ハチを順応させられるスペースがない！,,,没有空间让更多蜜蜂适应!,
$hivemother_blessing_axe,Error when trying to interact with hallowed ground pre-axe4,Only Grandpa's Axe can chop down these trees!,XX,Seule la hache de papy peut abattre ces arbres !,Solo l'Ascia del Nonno è in grado di tagliare quegli alberi!,Nur mit Opas Axt kann man diese Bäume fällen!,¡Solo el hacha del abuelo puede talar estos árboles!,Apenas o Machado do Vovô pode derrubar essas árvores!,おじいちゃんの斧を使ってみよう！,,,只有爷爷的斧头才能砍倒这些树!,
$hivemother_blessing_def,Error when trying to interact with hallowed menus pre-axe4,You need the Hivemother's Blessing to interact with this item,XX,Il te faut la bénédiction de la Sainte-Reine pour interagir avec cet objet.,Hai bisogno della Benedizione della Madre degli Alveari per interagire con quest'oggetto.,"Du brauchst den Segen der Bienenmutter, um damit zu interagieren",Necesitas la bendición de la Madre de Colmenas para interactuar con este objeto.,Você precisa da Benção da Mãe das Colmeias para interagir com esse item,アイテムに触れるには巣の主の祝福が必要だよ,,,你需要有巢母的祝福才能和这件物品互动,
$no_connection,Error when no online connection,No internet connection!,XX,Pas de connexion Internet !,Nessuna connessione a Internet!,Keine Internetverbindung!,¡No hay conexión a internet!,Sem conexão à rede!,インターネット接続なし,,,无网络连接!,
$alchemy_salt,,You need at least 5 salt to begin decanting!,XX,Il te faut au moins 5 sels pour lancer la décantation !,Hai bisogno di almeno 5 unità di sale per iniziare a decantare!,Min. 5 Salz zum Umfüllen notwendig!,¡Necesitas al menos 5 unidades de sal para empezar a decantar!,Você precisa de pelo menos 5 sais para começar a decantar!,液体を移すには塩が5以上必要だよ！,,,,
$alchemy_resin,,You need at least 50bl of resin to begin decanting!,XX,Il te faut au moins 50 la de résine pour lancer la décantation !,Hai bisogno di almeno 50bl di resina per iniziare a decantare!,Min. 50bl Harz zum Umfüllen notwendig!,¡Necesitas al menos 5 ml de resina para empezar a decantar!,Você precisa de pelo menos 50al de resina para começar a decantar!,液体を移すには50ビーリットル以上の樹脂が必要だよ！,,,,
$combine_min,Error when not enough items in alchemy bench,You need at least 5 of each item to combine!,XX,Il te faut au moins 5 éléments de chaque pour combiner !,Hai bisogno di almeno 5 unità di ogni oggetto per combinarli!,Min. 5 Exemplare eines Gegenstandes zum Kombinieren notwendig!,¡Necesitas al menos 5 unidades de cada objeto para combinarlos!,Você precisa de pelo menos 5 de cada item para combinar!,組み合わせるにはアイテムがそれぞれ5つ以上必要だ！,,,,
$combine_bees,Error when trying to put bees in the alchemy bench,You can't combine bees!,XX,Impossible de combiner les abeilles !,Non puoi combinare le api!,Bienen können nicht kombiniert werden!,¡No puedes combinar abejas!,Você não pode combinar abelhas!,ハチを組み合わせることはできないよ！,,,,
$combine_key,Error when trying to throw away 'key' / 'important' items in the alchemy bench,You can't combine key items!,XX,Impossible de combiner les objets clés !,Non puoi combinare gli oggetti chiave!,Schlüsselgegenstände können nicht kombiniert werden!,¡No puedes combinar objetos clave!,Você não pode combinar itens importantes!,キーアイテムは組み合わせられないよ！,,,,
$combine_full,Error when already an output incense,There's no room to make a new incense!,XX,Il n'y a pas de place pour faire un nouvel encens !,Non c'è spazio per realizzare un nuovo incenso!,Kein Platz für weitere Räuchermittel!,¡No hay lugar para hacer más incienso!,Sem espaço para criar um incenso novo!,新しいお香を作るためのスペースがないよ！,,,,
$burner_no_scent,,There's no incense to burn!,XX,Il n'y a pas d'encens à brûler !,Non c'è incenso da bruciare!,Kein Räuchermittel!,¡No hay incienso para quemar!,Sem incenso para queimar!,燃やせるお香がないよ！,,,,
$butterfly_too_many,Error when more than 1 species is in the same butterfly hotel,You can't have more than one species at the same time!,XX,Impossible d'avoir plus d'une espèce à la fois !,Non puoi avere più di una specie contemporaneamente!,Nicht mehr als eine Art zur gleichen Zeit möglich!,¡No puedes tener más de una especie a la vez!,Você não pode ter mais do que uma espécie por vez!,同時に2種類以上の種を迎えることはできないよ！,,,,
$butterfly_no_flowers,Error when no flowers near butterfly hotel,There are no flowers these butterflies like nearby!,XX,Il n'y a pas de fleurs que ces papillons aiment à proximité !,Non ci sono fiori che piacciono a queste farfalle nelle vicinanze!,"Keine Blumen in der Nähe, die diese Schmetterlinge mögen!",¡No hay flores de las que les gustan a estas mariposas cerca!,Não tem flores que essas borboletas gostem por perto!,このチョウが好きな花が辺りにないみたい！,,,,
$butterfly_unhappy,Error when butterflies are in a climate they dont like,These butterflies don't like this climate!,XX,Ces papillons n'aiment pas ce climat !,A queste farfalle non piace questo clima!,Diese Schmetterlinge mögen dieses Klima nicht!,¡A estas mariposas no les gusta este clima!,Essas borboletas não gostam desse clima!,このチョウはこの気候が苦手なようだ！,,,,
$butterfly_weather01,Error when butterflies are in weather they dont like,These butterflies don't like rain!,XX,Ces papillons n'aiment pas la pluie !,A queste farfalle non piace la pioggia!,Diese Schmetterlinge mögen keinen Regen!,¡A estas mariposas no les gusta la lluvia!,Essas borboletas não gostam de chuva!,このチョウは雨が苦手だ！,,,,
$butterfly_weather02,Error when butterflies are in weather they dont like,These butterflies don't like snow!,XX,Ces papillons n'aiment pas la neige !,A queste farfalle non piace la neve!,Diese Schmetterlinge mögen keinen Schnee!,¡A estas mariposas no les gusta la nieve!,Essas borboletas não gostam de neve!,このチョウは雪が苦手だ！,,,,
